Topic,Username,Text,Sentiment,clean_text_1,clean_text_2,clean_text_3,Prediction
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/,civicguy,"
no wonder singaporeans deserved to be extinct

sold out by traitors
still vote for traitors",Negative, no wonder singaporeans deserved to be extinct  sold out by traitors still vote for traitors,wonder singaporeans deserved extinct sold traitors still vote traitors,wonder singaporeans deserved extinct sold traitors still vote traitors,Negative
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/,aiptasia,"
Bunch of BS.  Take at look at CBP and MBFC.  Are those areas infested by Banglas?",Negative, bunch of bs  take at look at cbp and mbfc  are those areas infested by banglas,bunch bs take look cbp mbfc areas infested banglas,bunch bs take look cbp mbfc areas infested banglas,Negative
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/,Cobra!,"
what was covered up?",Neutral, what was covered up,covered,covered,Neutral
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/,dannytan87,"
quote before ban and racism..... paging mod..........",Positive, quote before ban and racism paging mod,quote ban racism paging mod,quote ban racism paging mod,Positive
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/,Tayliatorhard,"
You are delusional, noone is complaining about foreign worker.

The talk was always about foreigners in cushy and well paid office jobs that Singaporean can do.",Negative, you are delusional noone is complaining about foreign worker  the talk was always about foreigners in cushy and well paid office jobs that singaporean can do,delusional noone complaining foreign worker talk always foreigners cushy well paid office jobs singaporean,delusional noone complaining  talk always foreigners cushy well paid office jobs singaporean,Negative
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-2,kuehteow,"To do it to such extend, its a bit too obvious right....",Neutral,to do it to such extend its a bit too obvious right,extend bit obvious right,extend bit obvious right,Neutral
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-2,Multiversal,"
What I was saying is that the huge number of dorm FWs would make the visibility of Indians high, and many people start to think wow! there are also many Indians in Singapore, even just seeing a mere 50 of them eating lunch who happened to be PMETs.   Is that too hard for you to understand?  Is what I wrote completely lost on you?",Positive, what i was saying is that the huge number of dorm fws would make the visibility of indians high and many people start to think wow there are also many indians in singapore even just seeing a mere  of them eating lunch who happened to be pmets   is that too hard for you to understand  is what i wrote completely lost on you,saying huge number dorm fws would make visibility indians high many people start think wow also many indians singapore even seeing mere eating lunch happened pmets hard understand wrote completely lost,saying huge number dorm fws would make visibility indians high many people start think wow also many indians singapore even seeing mere eating lunch happened pmets hard understand wrote completely lost,Positive
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-2,Multiversal,"
In what way was my post racist?  Don't 'threaten me with mods.  Only losers run to mods.  Debate me face to face like a man, and tell me where in my post was anything lacist.   ",Positive, in what way was my post racist  do not  nothreaten me with mods  only losers run to mods  debate me face to face like a man and tell me where in my post was anything lacist   ,way post racist nothreaten mods losers run mods debate face face like man tell post anything lacist,way post racist nothreaten mods losers run mods debate face face like man tell post anything lacist,Positive
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-2,Multiversal,"
They happened to be in that sector, but it does not mean that there are a huge number here.  Get your facts right before doddering about yelling bullshit! bullshit!

I have already c/p a chart (proof), what have you produced as proof or evidence in your argument other than denials, denials and denials and yelling BS?",Positive, they happened to be in that sector but it does not mean that there are a huge number here  get your facts right before doddering about yelling bullshit bullshit  i have already cp a chart proof what have you produced as proof or evidence in your argument other than denials denials and denials and yelling bs,happened sector mean huge number get facts right doddering yelling bullshit bullshit already cp chart proof produced proof evidence argument denials denials denials yelling bs,happened sector mean huge number get facts right doddering yelling bullshit bullshit already cp chart proof produced proof evidence argument denials denials denials yelling bs,Positive
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-2,liplai2021,Entire operation black box. What the heck do ordinary peasants know?,Neutral,entire operation black box what the heck do ordinary peasants know,entire operation black box heck ordinary peasants know,entire operation black box heck ordinary peasants know,Neutral
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-2,aiptasia,"
It's precisely those highly paid jobs taken over by CECAs via village hiring practices that pisses so many singaporeans off!  A huge number of JHKs selling cai png or Pinoys manning retail outlets ain't gonna tick me off for sure.  Does your bloody chart show breakdown by occupations?  Typical IB logic",Negative, it is precisely those highly paid jobs taken over by cecas via village hiring practices that pisses so many singaporeans off  a huge number of jhks selling cai png or pinoys manning retail outlets ai not gonna tick me off for sure  does your bloody chart show breakdown by occupations  typical ib logic,precisely highly paid jobs taken cecas via village hiring practices pisses many singaporeans huge number jhks selling cai png pinoys manning retail outlets ai gonna tick sure bloody chart show breakdown occupations typical ib logic,precisely highly paid jobs taken s via village hiring practices pisses many singaporeans huge number jhks selling cai png pinoys manning retail outlets ai gonna tick sure bloody chart show breakdown occupations typical ib logic,Negative
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-2,TUV2008,"Anyone think the debate in parliament will result in ceca get terminate must be living in a dream land.

complete waste of time",Neutral,anyone think the debate in parliament will result in ceca get terminate must be living in a dream land  complete waste of time,anyone think debate parliament result ceca get terminate must living dream land complete waste time,anyone think debate parliament result  get terminate must living dream land complete waste time,Neutral
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-2,fox1,"So what?
EDMW boys also hate those get exposed by Offshore Leaks.




",Neutral,so what edmw boys also hate those get exposed by offshore leaks     ,edmw boys also hate get exposed offshore leaks,edmw boys also hate get exposed offshore leaks,Neutral
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-2,aiptasia,"
We can certainly tell the difference between a FW and a PMET CECA.  Don't be presumptuous and think people are retards in not being able to tell whom is whom.",Neutral, we can certainly tell the difference between a fw and a pmet ceca  do not be presumptuous and think people are retards in not being able to tell whom is whom,certainly tell difference fw pmet ceca presumptuous think people retards able tell,certainly tell difference fw pmet  presumptuous think people retards able tell,Neutral
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-2,Handyman8888,"This LT fella really trying to stir discord...should summon him to get arrested!
And after that drink cow urine as well!!",Positive,this lt fella really trying to stir discordshould summon him to get arrested and after that drink cow urine as well,lt fella really trying stir discordshould summon get arrested drink cow urine well,lt fella really trying stir discordshould summon get arrested drink cow urine well,Negative
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-2,rachdanon,Is it statistically supported that for same job scope CECAs accept lower pay than locals?  Not referring to construction or blue collar workers because we know that is generally true for the lower wage workers.,Neutral,is it statistically supported that for same job scope cecas accept lower pay than locals  not referring to construction or blue collar workers because we know that is generally true for the lower wage workers,statistically supported job scope cecas accept lower pay locals referring construction blue collar workers know generally true lower wage workers,statistically supported job scope s accept lower pay locals referring construction blue collar workers know generally true lower wage workers,Neutral
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-2,Perisher,"
I can only say your post is naive.

Look at CMIO.
Look at the percentages and understand why people don't over-react to seeing more Chinese than any other race in SG.

In case you think people here are against Indians, go through SG history again.
Back when China import was a lot, tons of people here kpkb about China Chinese import too.
Same situation with Malaysians and Philippines. You are just cherry picking a time when we do mass import of Indians to say singaporeans are against specifically Indians when that isn't the case.",Negative, i can only say your post is naive  look at cmio look at the percentages and understand why people do not overreact to seeing more chinese than any other race in sg  in case you think people here are against indians go through sg history again back when china import was a lot tons of people here kpkb about china chinese import too same situation with malaysians and philippines you are just cherry picking a time when we do mass import of indians to say singaporeans are against specifically indians when that is not the case,say post naive look cmio look percentages understand people overreact seeing chinese race sg case think people indians go sg history back china import lot tons people kpkb china chinese import situation malaysians philippines cherry picking time mass import indians say singaporeans specifically indians case,say post naive look cmio look percentages understand people overreact seeing chinese race sg case think people indians go sg history back china import lot tons people kpkb china chinese import situation malaysians philippines cherry picking time mass import indians say singaporeans specifically indians case,Negative
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-2,jack-320,Unfortunately 61% does not hate CECA,Negative,unfortunately  does not hate ceca,unfortunately hate ceca,unfortunately hate ,Negative
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-2,Jurchen King,"
The irony is that a (singaporean) Indian had already foretold voters (looking at the Chinese Singaporean majority) way back in 2015 that Singaporeans were getting the government they deserve .",Neutral, the irony is that a singaporean indian had already foretold voters looking at the chinese singaporean majority way back in  that singaporeans were getting the government they deserve ,irony singaporean indian already foretold voters looking chinese singaporean majority way back singaporeans getting government deserve,irony singaporean indian already foretold voters looking chinese singaporean majority way back singaporeans getting government deserve,Neutral
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-2,aiptasia,"
On the contrary, CECA PMETs are very well paid and often are paid more than singaporeans.  The fact that they can land such jobs is solely due to their caste ridden hiring practices where a CECA will hire a village full of CECAs from his or her village.",Negative, on the contrary ceca pmets are very well paid and often are paid more than singaporeans  the fact that they can land such jobs is solely due to their caste ridden hiring practices where a ceca will hire a village full of cecas from his or her village,contrary ceca pmets well paid often paid singaporeans fact land jobs solely due caste ridden hiring practices ceca hire village full cecas village,contrary  pmets well paid often paid singaporeans fact land jobs solely due caste ridden hiring practices  hire village full s village,Negative
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-2,techidiot,"
Much of the details Singaporeans were not loop in.
No matter where you go, sure see CECA than we became aware of their existence.
Seriously even myself also not aware of CECA until IT sector slowly singaporeans
disappear.

Anyway since they say CECA benefit Singapore than prove it.
The only party that benefit are those who invest in CECA and Indian nationalities.
Since they can commend very high salary even with dubious certs/background.

Some say ""Free hand"" more like ""Free passage"".",Negative, much of the details singaporeans were not loop in no matter where you go sure see ceca than we became aware of their existence seriously even myself also not aware of ceca until it sector slowly singaporeans disappear  anyway since they say ceca benefit singapore than prove it the only party that benefit are those who invest in ceca and indian nationalities since they can commend very high salary even with dubious certsbackground  some say free hand more like free passage,much details singaporeans loop matter go sure see ceca became aware existence seriously even also aware ceca sector slowly singaporeans disappear anyway since say ceca benefit singapore prove party benefit invest ceca indian nationalities since commend high salary even dubious certsbackground say free hand like free passage,much details singaporeans loop matter go sure see  became aware existence seriously even also aware  sector slowly singaporeans disappear anyway since say  benefit singapore prove party benefit invest  indian nationalities since commend high salary even dubious certsbackground say free hand like free passage,Negative
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-2,Perisher,"hate is too strong a word... I doubt many here have serious ""hate"" against any nationality.",Positive,hate is too strong a word i doubt many here have serious hate against any nationality,hate strong word doubt many serious hate nationality,hate strong word doubt many serious hate nationality,Positive
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-2,Handyman8888,"
Actually not really correct to say only the 61%...as long as Singaporeans who are benefitng or doing well in their country, they are NOT adverse to what CECA nonsense....ONLY THOSE LOSERS AND LOW SES ones not doing well...are complaining.
So let's be clear....oppo like this LT is using any opportunity he sees to stir discord.",Positive, actually not really correct to say only the  long as singaporeans who are benefitng or doing well in their country they are not adverse to what ceca nonsenseonly those losers and low ses ones not doing wellare complaining so let us be clearoppo like this lt is using any opportunity he sees to stir discord,actually really correct say long singaporeans benefitng well country adverse ceca nonsenseonly losers low ses ones wellare complaining let us clearoppo like lt using opportunity sees stir discord,actually really correct say long singaporeans benefitng well country adverse  nonsenseonly losers low ses ones wellare complaining let us clearoppo like lt using opportunity sees stir discord,Positive
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-2,AndroidComa,"
did we make money in China?

our world class lose money everywhere they invest


motherfucker",Negative, did we make money in china  our world class lose money everywhere they invest   motherfucker,make money china world class lose money everywhere invest motherfucker,make money china world class lose money everywhere invest motherfucker,Negative
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-2,Multiversal,"
You don't represent all Singaporeans, so kindly do not use ""we"".  Talk about being presumptuous, and you are a classic example.  

I am going to ignore you as I know there is a big gang of you waiting to get me infracted and ""bend"" .  So it is wise for me to to ignore you like I would a pest because you are not interested to talk reason but to fight.    

Without mods around, you will be sorry to mess around with me.  But with POWERFUL  mods, some of whom are pro-opposition, well.....I will let the PAP MPs deal with your Pritam or Leong in Parliament, and let's see who is right, who is being presumptuous lor.  

And I am getting my popcorns ready to see how Leong is going to wiggle his way in Parliament trying to prove that CECA is bad, and that ""some"" people are not against CECA because they don't like Indians.  Try. Leong Mun Wai,. I am looking at you man.",Positive, you do not represent all singaporeans so kindly do not use we  talk about being presumptuous and you are a classic example    i am going to ignore you as i know there is a big gang of you waiting to get me infracted and bend   so it is wise for me to to ignore you like i would a pest because you are not interested to talk reason but to fight      without mods around you will be sorry to mess around with me  but with powerful  mods some of whom are proopposition welli will let the pap mps deal with your pritam or leong in parliament and let us see who is right who is being presumptuous lor    and i am getting my popcorns ready to see how leong is going to wiggle his way in parliament trying to prove that ceca is bad and that some people are not against ceca because they do not like indians  try leong mun wai i am looking at you man,represent singaporeans kindly use talk presumptuous classic example going ignore know big gang waiting get infracted bend wise ignore like would pest interested talk reason fight without mods around sorry mess around powerful mods proopposition welli let pap mps deal pritam leong parliament let us see right presumptuous lor getting popcorns ready see leong going wiggle way parliament trying prove ceca bad people ceca like indians try leong mun wai looking man,represent singaporeans kindly use talk presumptuous classic example going ignore know big gang waiting get infracted bend wise ignore like would pest interested talk reason fight without mods around sorry mess around powerful mods proopposition welli let pap mps deal pritam leong parliament let us see right presumptuous lor getting popcorns ready see leong going wiggle way parliament trying prove  bad people  like indians try leong mun wai looking man,Positive
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-3,Handyman8888,"
Not true...CECA pay package for EP and S pass is equal or even exceed the fucking Singaporeans.
So you go figure, why they get the jobs while Singaporeans become safe dist Ambassador!!",Negative, not truececa pay package for ep and s pass is equal or even exceed the fucking singaporeans so you go figure why they get the jobs while singaporeans become safe dist ambassador,truececa pay package ep pass equal even exceed fucking singaporeans go figure get jobs singaporeans become safe dist ambassador,true pay package ep pass equal even exceed fucking singaporeans go figure get jobs singaporeans become safe dist ambassador,Negative
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-3,Perisher,"
I'm doing fine but I don't like mass import of any nationality. It's a lousy way to push GDP.",Negative, i am doing fine but i do not like mass import of any nationality it is a lousy way to push gdp,fine like mass import nationality lousy way push gdp,fine like mass import nationality lousy way push gdp,Positive
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-3,Visor9999,Very good speech but I think very hard to win debate in parliament,Neutral,very good speech but i think very hard to win debate in parliament,good speech think hard win debate parliament,good speech think hard win debate parliament,Neutral
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-3,Perisher,"
you have lots of angst.",Neutral, you have lots of angst,lots angst,lots angst,Positive
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-3,Handyman8888,"
I tried to tell these Singaporeans this ...maybe a thousand times, that CECA are not cheaper but on the contrary and yet they keep repeating their nonsense.
See why they are HOPELESS?",Negative, i tried to tell these singaporeans this maybe a thousand times that ceca are not cheaper but on the contrary and yet they keep repeating their nonsense see why they are hopeless,tried tell singaporeans maybe thousand times ceca cheaper contrary yet keep repeating nonsense see hopeless,tried tell singaporeans maybe thousand times  cheaper contrary yet keep repeating nonsense see hopeless,Negative
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-3,aiptasia,"
When I use the word we, I meant EDMWers.  Certainly not the IBs or perhaps you may even be a CECA since you are hell bent on defending them.

Sorry?  WTF can you do except be a pip squeak in the forum?  I don't need any oppo MP to prove that CECA is a horrible deal.  I already know that it is.  

You present bullshit and try to pass it off as facts.  When challenged, you back away like a snakish CECA and mutter excuses about mods and what not.  Face reality - you are just a yellowbelly who can't stand up to scrutiny   ",Negative, when i use the word we i meant edmwers  certainly not the ibs or perhaps you may even be a ceca since you are hell bent on defending them  sorry  wtf can you do except be a pip squeak in the forum  i do not need any oppo mp to prove that ceca is a horrible deal  i already know that it is    you present bullshit and try to pass it off as facts  when challenged you back away like a snakish ceca and mutter excuses about mods and what not  face reality  you are just a yellowbelly who can not stand up to scrutiny   ,use word meant edmwers certainly ibs perhaps may even ceca since hell bent defending sorry wtf except pip squeak forum need oppo mp prove ceca horrible deal already know present bullshit try pass facts challenged back away like snakish ceca mutter excuses mods face reality yellowbelly stand scrutiny,use word meant edmwers certainly ibs perhaps may even  since hell bent defending sorry wtf except pip squeak forum need oppo mp prove  horrible deal already know present bullshit try pass facts challenged back away like snakish  mutter excuses mods face reality yellowbelly stand scrutiny,Negative
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-3,Level42,FW donÃ¢ÂÂt wear long sleeve shirts to work. This is one way to differentiate FW from CECA PMET.,Neutral,fw donÃ¢  t wear long sleeve shirts to work this is one way to differentiate fw from ceca pmet,fw donÃ¢ wear long sleeve shirts work one way differentiate fw ceca pmet,fw donÃ¢ wear long sleeve shirts work one way differentiate fw  pmet,Neutral
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-3,Multiversal,"
Your second sentence is already proof of what I said earlier.  You see a lot of Indians doing road works or construction (hundreds of thousands of them), and then you say there are a lot of CECAs when you see merely 50 Indian pmets eating lunch together.

We are flooded with CECAs?  Until almost all of Singapore?  Come on!  We are building MRTs and building the North South Corridor.  You are calling those FWs CECA?

And someone here even claimed ""WE can tell CECAs from FWs...""  Gosh!

It is obvious enough that those of you who have read CECA THE AGREEMENT  are few and far between, who think it is a bad AGREEMENT.  The comments posted here are proof that most of you just don't like Indians...sure you want them to do road works and constructions because they are cheap to hire but get jealous if the better educated ones work in PMET jobs, even though we lack locals because of our low TFR.",Positive, your second sentence is already proof of what i said earlier  you see a lot of indians doing road works or construction hundreds of thousands of them and then you say there are a lot of cecas when you see merely  indian pmets eating lunch together  we are flooded with cecas  until almost all of singapore  come on  we are building mrts and building the north south corridor  you are calling those fws ceca  and someone here even claimed we can tell cecas from fws  gosh  it is obvious enough that those of you who have read ceca the agreement  are few and far between who think it is a bad agreement  the comments posted here are proof that most of you just do not like indianssure you want them to do road works and constructions because they are cheap to hire but get jealous if the better educated ones work in pmet jobs even though we lack locals because of our low tfr,second sentence already proof said earlier see lot indians road works construction hundreds thousands say lot cecas see merely indian pmets eating lunch together flooded cecas almost singapore come building mrts building north south corridor calling fws ceca someone even claimed tell cecas fws gosh obvious enough read ceca agreement far think bad agreement comments posted proof like indianssure want road works constructions cheap hire get jealous better educated ones work pmet jobs even though lack locals low tfr,second sentence already proof said earlier see lot indians road works construction hundreds thousands say lot s see merely indian pmets eating lunch together flooded s almost singapore come building mrts building north south corridor calling fws  someone even claimed tell s fws gosh obvious enough read  agreement far think bad agreement comments posted proof like indianssure want road works constructions cheap hire get jealous better educated ones work pmet jobs even though lack locals low tfr,Positive
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-3,incognitoboy,61% of ordinary Singaporeans voted for PAP ok?,Neutral, of ordinary singaporeans voted for pap ok,ordinary singaporeans voted pap ok,ordinary singaporeans voted pap ok,Negative
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-3,muddywhaters,"
Yes and no.

At EP level. Say you pay a Ceca or other Foreign Trash $4000.

For that salary you are getting somebody with some years of experience. He comes here and could already do the job with minimal training. 

For $4000 on a singaporean, it's likely to be just fresh grad and waiting to be spoonfed.

EP/SP also less likely to jump around as much as a singaporean. singaporean can decide to quit today if not happy and just sit at home and live on parents for months.

EP/SP don't have such luxury. And also they have to go through the employment pass paperwork hassle if they change jobs, so they tend to stay longer also. 

So when employers employ EP/SP, it's often not just about costs. It's alot of other factors like those mentioned above.

But having said that, now employers are getting used to the idea of remote workers..... 

Some may decide to just hire people in their home countries rather than bring them here.... A bit silly to bring foreign trash here only to have them WFH.... ",Negative, yes and no  at ep level say you pay a ceca or other foreign trash   for that salary you are getting somebody with some years of experience he comes here and could already do the job with minimal training   for  on a singaporean it is likely to be just fresh grad and waiting to be spoonfed  epsp also less likely to jump around as much as a singaporean singaporean can decide to quit today if not happy and just sit at home and live on parents for months  epsp do not have such luxury and also they have to go through the employment pass paperwork hassle if they change jobs so they tend to stay longer also   so when employers employ epsp it is often not just about costs it is alot of other factors like those mentioned above  but having said that now employers are getting used to the idea of remote workers   some may decide to just hire people in their home countries rather than bring them here a bit silly to bring foreign trash here only to have them wfh ,yes ep level say pay ceca foreign trash salary getting somebody years experience comes could already job minimal training singaporean likely fresh grad waiting spoonfed epsp also less likely jump around much singaporean singaporean decide quit today happy sit home live parents months epsp luxury also go employment pass paperwork hassle change jobs tend stay longer also employers employ epsp often costs alot factors like mentioned said employers getting used idea remote workers may decide hire people home countries rather bring bit silly bring foreign trash wfh,yes ep level say pay  foreign trash salary getting somebody years experience comes could already job minimal training singaporean likely fresh grad waiting spoonfed epsp also less likely jump around much singaporean singaporean decide quit today happy sit home live parents months epsp luxury also go employment pass paperwork hassle change jobs tend stay longer also employers employ epsp often costs alot factors like mentioned said employers getting used idea remote workers may decide hire people home countries rather bring bit silly bring foreign trash wfh,Negative
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-3,aiptasia,"
I have read the parts of CECA that touches on intra corporate transfers, dependent passes and the list of occupations.  Have you read it?  Doubt it.  Provide the benefits here and argue otherwise get lost, IB!

And who the fuck would confuse foreign workers digging in the ditch with a CECA in an air-conditioned office in MBFC?   Think singaporeans are a bunch of blind bats?  Really dumb to the max!",Negative, i have read the parts of ceca that touches on intra corporate transfers dependent passes and the list of occupations  have you read it  doubt it  provide the benefits here and argue otherwise get lost ib  and who the fuck would confuse foreign workers digging in the ditch with a ceca in an airconditioned office in mbfc   think singaporeans are a bunch of blind bats  really dumb to the max,read parts ceca touches intra corporate transfers dependent passes list occupations read doubt provide benefits argue otherwise get lost ib fuck would confuse foreign workers digging ditch ceca airconditioned office mbfc think singaporeans bunch blind bats really dumb max,read parts  touches intra corporate transfers dependent passes list occupations read doubt provide benefits argue otherwise get lost ib fuck would confuse s digging ditch  airconditioned office mbfc think singaporeans bunch blind bats really dumb max,Negative
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-3,tmster,"
What you see at CBP, just multiply that by at least 5. It is not only CBP, the surrounding Simei, Tanah Merah and Bedok Reservoir area are all full of these people. You underestimated the numbers, the issue is not just of a particular business sector practicing unfair job hiring, the bigger issue is of them bringing in a whole village of dependents and thus resulting in this escalation of resentment towards Ceca agreement. Making it worse is the arrogant attitude of those Cecas here, there is simply nothing to like about them.",Negative, what you see at cbp just multiply that by at least  it is not only cbp the surrounding simei tanah merah and bedok reservoir area are all full of these people you underestimated the numbers the issue is not just of a particular business sector practicing unfair job hiring the bigger issue is of them bringing in a whole village of dependents and thus resulting in this escalation of resentment towards ceca agreement making it worse is the arrogant attitude of those cecas here there is simply nothing to like about them,see cbp multiply least cbp surrounding simei tanah merah bedok reservoir area full people underestimated numbers issue particular business sector practicing unfair job hiring bigger issue bringing whole village dependents thus resulting escalation resentment towards ceca agreement making worse arrogant attitude cecas simply nothing like,see cbp multiply least cbp surrounding simei tanah merah bedok reservoir area full people underestimated numbers issue particular business sector practicing unfair job hiring bigger issue bringing whole village dependents thus resulting escalation resentment towards  agreement making worse arrogant attitude s simply nothing like,Negative
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-3,Handyman8888,"
And let's not forget...for a fucking Singaporeans MALE...still got to do reservist and what's not but at the end of the day..That fucking Singaporeans never ask himself...""WHO IS HE DEFENDING FOR!""",Negative, and let us not forgetfor a fucking singaporeans malestill got to do reservist and what is not but at the end of the daythat fucking singaporeans never ask himselfwho is he defending for,let us forgetfor fucking singaporeans malestill got reservist end daythat fucking singaporeans never ask himselfwho defending,let us forgetfor fucking singaporeans malestill got reservist end daythat fucking singaporeans never ask himselfwho defending,Negative
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-3,TUV2008,"
i also want to know what was the cover up.... but based on my guess with the color they used I believe is ""Ramesh""",Neutral, i also want to know what was the cover up but based on my guess with the color they used i believe is ramesh,also want know cover based guess color used believe ramesh,also want know cover based guess color used believe ramesh,Neutral
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-3,Daty41,"from my experience, only those in IT and banking industry hates them....and many of them are arrogant cause many of them are actually better in their IT skills (other skills they are really bad). PRC are much better but most of them dont even want to work in Singapore liao cause it is a backwards country (in terms of money making opportunities) .  Maybe its just the people i know.",Neutral,from my experience only those in it and banking industry hates themand many of them are arrogant cause many of them are actually better in their it skills other skills they are really bad prc are much better but most of them dont even want to work in singapore liao cause it is a backwards country in terms of money making opportunities   maybe its just the people i know,experience banking industry hates themand many arrogant cause many actually better skills skills really bad prc much better dont even want work singapore liao cause backwards country terms money making opportunities maybe people know,experience banking industry hates themand many arrogant cause many actually better skills skills really bad prc much better dont even want work singapore liao cause backwards country terms money making opportunities maybe people know,Negative
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-3,techidiot,"
Reported for Racism and I have not mentioned anything about Indians.
As well as I have been specific that sectors like IT, anyway IB account spotted.",Negative, reported for racism and i have not mentioned anything about indians as well as i have been specific that sectors like it anyway ib account spotted,reported racism mentioned anything indians well specific sectors like anyway ib account spotted,reported racism mentioned anything indians well specific sectors like anyway ib account spotted,Negative
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-3,Multiversal,"
How is it you people were so subdued in the past when we had and mohs working here as expats, who brought their families over?  I even saw AMDL pushing prams...but now it's Indian women, and you people cannot accept it?

So I suppose if CBP is full of yellow haired and blue eyed white peoples, a lot of people will be so proud wow!  Little Silicon Valley!  And some of you will ask to take a wefie with them, which they will condescendingly oblige I suppose?  Pinkerton Syndrome still very much alive...",Positive, how is it you people were so subdued in the past when we had and mohs working here as expats who brought their families over  i even saw amdl pushing pramsbut now it is indian women and you people cannot accept it  so i suppose if cbp is full of yellow haired and blue eyed white peoples a lot of people will be so proud wow  little silicon valley  and some of you will ask to take a wefie with them which they will condescendingly oblige i suppose  pinkerton syndrome still very much alive,people subdued past mohs working expats brought families even saw amdl pushing pramsbut indian women people cannot accept suppose cbp full yellow haired blue eyed white peoples lot people proud wow little silicon valley ask take wefie condescendingly oblige suppose pinkerton syndrome still much alive,people subdued past mohs working expats brought families even saw amdl pushing pramsbut indian women people cannot accept suppose cbp full yellow haired blue eyed white peoples lot people proud wow little silicon valley ask take wefie condescendingly oblige suppose pinkerton syndrome still much alive,Positive
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-3,Multiversal,"
And who is being racist here?

Just because I pointed out your second sentence, you are not happy and run to the mod?  

OK....get me banned lor.   

Anyway, you call me IB account, but you are also IB account.  Just that you dare not tell which party you voted for...or do you dare?  ",Positive, and who is being racist here  just because i pointed out your second sentence you are not happy and run to the mod    okget me banned lor     anyway you call me ib account but you are also ib account  just that you dare not tell which party you voted foror do you dare  ,racist pointed second sentence happy run mod okget banned lor anyway call ib account also ib account dare tell party voted foror dare,racist pointed second sentence happy run mod okget banned lor anyway call ib account also ib account dare tell party voted foror dare,Negative
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-3,aiptasia,"
It's not just these two sectors.  They have permeated the logistics, professional services, etc and even government agencies and GLCs.  You are right that the PRCs couldn't be bothered with tiny Singapore as they can earn much more in China.",Negative, it is not just these two sectors  they have permeated the logistics professional services etc and even government agencies and glcs  you are right that the prcs could not be bothered with tiny singapore as they can earn much more in china,two sectors permeated logistics professional services etc even government agencies glcs right prcs could bothered tiny singapore earn much china,two sectors permeated logistics professional services etc even government agencies glcs right prcs could bothered tiny singapore earn much china,Negative
lim-tean-see-how-ordinary-singaporeans-hate-ceca.6549279/page-3,techidiot,"PS please refrain from turning this thread into Racism. 
What we are talking about is CECA which is not a Racist topic. 
IB account spotted can Mod and Admin please take action.",Neutral,ps please refrain from turning this thread into racism  what we are talking about is ceca which is not a racist topic  ib account spotted can mod and admin please take action,ps please refrain turning thread racism talking ceca racist topic ib account spotted mod admin please take action,ps please refrain turning thread racism talking  racist topic ib account spotted mod admin please take action,Neutral
